WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_33,GemiddeldeHuishoudensgrootte_32,GemiddeldInkomenPerInwoner_66,HuishoudensMetKinderen_31,HuishoudensTotaal_28,HuishOnderOfRondSociaalMinimum_73,MateVanStedelijkheid_104,k_0Tot15Jaar_8,k_25Tot45Jaar_10,k_65JaarOfOuder_12,cluster_id,cluster_label_short,cluster_label_long
BU18910000,Dantumadiel                             ,Buurt     ,BU18910000,5540,860.0,2.4,19.5,865,2290,7.1,4.0,935,1190,1185,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU18910001,Dantumadiel                             ,Buurt     ,BU18910001,1100,666.0,2.5,18.8,185,430,5.2,5.0,225,265,165,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU18910100,Dantumadiel                             ,Buurt     ,BU18910100,850,1104.0,2.8,17.4,145,295,5.1,5.0,205,205,115,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU18910101,Dantumadiel                             ,Buurt     ,BU18910101,920,306.0,2.7,19.1,160,330,4.2,5.0,170,175,150,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU18910200,Dantumadiel                             ,Buurt     ,BU18910200,5000,1298.0,2.3,18.8,785,2110,7.9,4.0,810,1085,1170,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU18910201,Dantumadiel                             ,Buurt     ,BU18910201,3430,1224.0,2.2,22.7,490,1480,8.5,5.0,500,655,820,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU18910300,Dantumadiel                             ,Buurt     ,BU18910300,965,628.0,2.5,19.9,165,380,4.8,5.0,180,220,155,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU05031101,Delft                                   ,Buurt     ,BU05031101,1060,6813.0,2.0,28.6,165,515,12.8,1.0,155,235,140,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031102,Delft                                   ,Buurt     ,BU05031102,2350,9366.0,1.5,31.2,185,1565,6.4,1.0,185,740,235,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031103,Delft                                   ,Buurt     ,BU05031103,2330,12532.0,1.7,35.4,235,1330,7.1,1.0,285,715,365,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031104,Delft                                   ,Buurt     ,BU05031104,2565,13955.0,1.3,24.6,120,1955,8.9,1.0,110,1050,210,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031106,Delft                                   ,Buurt     ,BU05031106,1445,13026.0,1.3,25.5,65,1115,5.4,1.0,65,500,115,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031107,Delft                                   ,Buurt     ,BU05031107,975,11013.0,1.5,27.9,65,650,7.5,1.0,65,330,165,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031108,Delft                                   ,Buurt     ,BU05031108,765,13685.0,1.7,30.9,80,445,4.7,1.0,75,235,90,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031109,Delft                                   ,Buurt     ,BU05031109,1000,11737.0,1.5,35.9,70,670,5.5,1.0,70,350,200,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031201,Delft                                   ,Buurt     ,BU05031201,455,5948.0,1.7,19.6,60,270,15.2,2.0,30,90,115,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031202,Delft                                   ,Buurt     ,BU05031202,2275,9367.0,1.8,28.8,290,1230,6.6,2.0,330,660,430,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031203,Delft                                   ,Buurt     ,BU05031203,600,2039.0,1.3,14.4,40,430,14.6,2.0,30,110,65,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031204,Delft                                   ,Buurt     ,BU05031204,1695,13555.0,2.1,30.6,280,810,4.0,1.0,300,445,255,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031205,Delft                                   ,Buurt     ,BU05031205,1065,7925.0,1.9,22.5,165,555,11.9,1.0,180,360,205,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031206,Delft                                   ,Buurt     ,BU05031206,1305,7059.0,1.4,17.2,100,820,10.8,1.0,85,365,200,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031207,Delft                                   ,Buurt     ,BU05031207,2015,11495.0,1.7,21.2,280,1170,10.8,1.0,290,635,365,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031301,Delft                                   ,Buurt     ,BU05031301,1170,5883.0,2.0,33.7,170,580,2.3,1.0,200,320,225,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031302,Delft                                   ,Buurt     ,BU05031302,1035,6925.0,1.8,23.0,145,535,10.1,1.0,120,205,370,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031303,Delft                                   ,Buurt     ,BU05031303,2475,13306.0,2.1,30.9,360,1195,2.2,1.0,435,600,295,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031304,Delft                                   ,Buurt     ,BU05031304,465,3532.0,1.6,19.4,65,280,21.1,1.0,50,140,90,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031305,Delft                                   ,Buurt     ,BU05031305,3450,17320.0,1.6,25.5,350,2110,6.2,1.0,365,1140,450,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031306,Delft                                   ,Buurt     ,BU05031306,1820,16892.0,1.4,15.8,190,1255,12.7,1.0,175,485,155,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031307,Delft                                   ,Buurt     ,BU05031307,2640,11563.0,1.6,23.1,300,1605,10.3,1.0,340,945,210,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031400,Delft                                   ,Buurt     ,BU05031400,1560,9857.0,1.7,21.6,225,900,14.3,2.0,245,560,165,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031401,Delft                                   ,Buurt     ,BU05031401,1740,9992.0,1.8,23.4,285,965,11.1,1.0,270,580,220,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031402,Delft                                   ,Buurt     ,BU05031402,920,6986.0,2.4,32.8,155,385,1.6,1.0,105,150,125,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031403,Delft                                   ,Buurt     ,BU05031403,465,3670.0,2.2,31.7,70,210,6.6,1.0,75,75,110,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031404,Delft                                   ,Buurt     ,BU05031404,1165,6836.0,1.5,25.4,95,780,8.0,1.0,70,390,235,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05031405,Delft                                   ,Buurt     ,BU05031405,2275,6089.0,2.5,34.3,395,915,1.9,1.0,445,545,360,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05031406,Delft                                   ,Buurt     ,BU05031406,1960,6052.0,2.8,25.9,415,685,2.7,2.0,580,855,50,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU05031407,Delft                                   ,Buurt     ,BU05031407,1600,11792.0,2.9,34.4,305,535,0.2,1.0,430,395,125,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032201,Delft                                   ,Buurt     ,BU05032201,1965,10753.0,2.5,28.4,365,775,1.2,2.0,250,345,255,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032202,Delft                                   ,Buurt     ,BU05032202,1685,10078.0,1.7,21.5,225,975,15.7,2.0,210,490,270,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032203,Delft                                   ,Buurt     ,BU05032203,1865,8435.0,2.2,26.2,310,850,6.6,1.0,280,430,235,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032204,Delft                                   ,Buurt     ,BU05032204,2570,6499.0,2.2,29.4,405,1165,3.7,2.0,320,540,430,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU05032301,Delft                                   ,Buurt     ,BU05032301,1170,6743.0,1.9,24.3,145,600,7.0,1.0,150,255,300,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032302,Delft                                   ,Buurt     ,BU05032302,870,9153.0,2.0,26.0,120,435,5.9,2.0,110,170,225,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032303,Delft                                   ,Buurt     ,BU05032303,2000,9664.0,1.9,25.6,285,1065,9.9,2.0,260,580,270,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032304,Delft                                   ,Buurt     ,BU05032304,1270,9524.0,1.8,24.6,145,685,10.1,2.0,145,280,310,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032305,Delft                                   ,Buurt     ,BU05032305,735,8535.0,2.1,28.9,105,345,1.8,2.0,85,140,165,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032400,Delft                                   ,Buurt     ,BU05032400,1330,12914.0,1.7,14.1,175,740,26.9,1.0,215,415,205,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032401,Delft                                   ,Buurt     ,BU05032401,1390,12192.0,1.9,21.7,210,715,9.2,1.0,240,545,110,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032402,Delft                                   ,Buurt     ,BU05032402,300,3063.0,1.4,25.1,20,215,0.0,1.0,20,120,30,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032403,Delft                                   ,Buurt     ,BU05032403,1565,13337.0,1.3,16.2,110,1165,16.6,1.0,85,295,410,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032404,Delft                                   ,Buurt     ,BU05032404,780,7542.0,1.4,27.3,50,535,10.5,1.0,35,125,405,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032405,Delft                                   ,Buurt     ,BU05032405,3730,11709.0,1.4,22.5,255,2570,4.3,1.0,255,1065,555,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032406,Delft                                   ,Buurt     ,BU05032406,2595,23976.0,1.7,19.5,295,1570,10.9,1.0,370,1045,200,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032407,Delft                                   ,Buurt     ,BU05032407,1705,7794.0,2.1,15.2,300,795,13.6,1.0,280,325,280,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032500,Delft                                   ,Buurt     ,BU05032500,505,2224.0,1.5,19.1,75,325,17.3,1.0,55,185,45,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032501,Delft                                   ,Buurt     ,BU05032501,3885,12376.0,1.7,16.5,445,2175,17.5,1.0,530,685,1135,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032502,Delft                                   ,Buurt     ,BU05032502,545,3374.0,1.5,21.8,45,360,16.0,1.0,50,240,60,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032503,Delft                                   ,Buurt     ,BU05032503,1540,14536.0,2.3,12.2,290,660,28.9,1.0,350,395,145,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032504,Delft                                   ,Buurt     ,BU05032504,925,5766.0,1.8,18.6,130,515,14.3,1.0,125,200,275,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032505,Delft                                   ,Buurt     ,BU05032505,965,8804.0,2.0,14.5,175,490,26.6,1.0,200,240,170,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032506,Delft                                   ,Buurt     ,BU05032506,635,6694.0,1.8,20.8,90,345,12.9,1.0,55,95,220,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032507,Delft                                   ,Buurt     ,BU05032507,2295,7404.0,1.7,26.3,240,1365,4.5,1.0,250,570,395,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032508,Delft                                   ,Buurt     ,BU05032508,1625,9772.0,2.1,23.6,240,790,1.9,1.0,245,395,365,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032509,Delft                                   ,Buurt     ,BU05032509,830,6011.0,3.0,32.0,175,275,0.4,1.0,175,175,30,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032700,Delft                                   ,Buurt     ,BU05032700,1225,8064.0,1.9,32.5,150,635,5.9,1.0,165,285,245,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032800,Delft                                   ,Buurt     ,BU05032800,1580,10938.0,1.9,29.4,200,805,4.5,1.0,215,390,255,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032801,Delft                                   ,Buurt     ,BU05032801,820,2719.0,1.2,20.6,30,665,3.7,1.0,35,335,40,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU05032802,Delft                                   ,Buurt     ,BU05032802,2260,11317.0,1.8,21.6,275,1260,8.1,1.0,305,595,350,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032803,Delft                                   ,Buurt     ,BU05032803,1535,11617.0,1.7,20.4,210,910,15.7,2.0,185,395,255,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032805,Delft                                   ,Buurt     ,BU05032805,2290,3027.0,1.2,11.5,10,1940,4.7,2.0,5,1085,5,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032806,Delft                                   ,Buurt     ,BU05032806,1755,8339.0,1.7,18.3,225,1025,11.7,2.0,245,510,280,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU05032809,Delft                                   ,Buurt     ,BU05032809,675,10643.0,2.3,47.5,95,295,0.3,1.0,100,95,165,5,Stedelijke Buurten,Buurten met hoge bevolkingsdichtheid en diverse leeftijdsopbouw en gemiddelde inkomens.
BU00100000,Delfzijl                                ,Buurt     ,BU00100000,830,949.0,1.5,21.4,50,565,12.9,4.0,35,175,340,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100001,Delfzijl                                ,Buurt     ,BU00100001,2155,1033.0,2.0,24.1,290,1080,7.0,4.0,240,390,510,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100002,Delfzijl                                ,Buurt     ,BU00100002,5800,2506.0,2.0,18.9,835,2840,16.4,4.0,825,1140,1605,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU00100003,Delfzijl                                ,Buurt     ,BU00100003,3520,2242.0,2.0,23.7,445,1720,4.1,3.0,420,655,1220,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU00100004,Delfzijl                                ,Buurt     ,BU00100004,1545,1960.0,2.4,26.2,255,635,2.1,4.0,240,290,310,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100005,Delfzijl                                ,Buurt     ,BU00100005,3090,1773.0,2.2,20.3,480,1200,15.1,4.0,575,800,410,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU00100103,Delfzijl                                ,Buurt     ,BU00100103,395,715.0,2.4,27.4,65,160,0.6,5.0,60,70,75,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00100200,Delfzijl                                ,Buurt     ,BU00100200,885,711.0,2.2,20.6,140,395,5.2,5.0,120,185,180,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100201,Delfzijl                                ,Buurt     ,BU00100201,380,661.0,2.2,24.6,50,170,0.6,5.0,45,60,70,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100202,Delfzijl                                ,Buurt     ,BU00100202,245,973.0,2.1,19.9,35,115,6.2,5.0,35,50,60,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100205,Delfzijl                                ,Buurt     ,BU00100205,1700,954.0,2.3,23.1,260,740,2.7,5.0,255,365,370,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100300,Delfzijl                                ,Buurt     ,BU00100300,580,755.0,2.3,22.0,95,245,4.1,5.0,95,115,100,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100301,Delfzijl                                ,Buurt     ,BU00100301,1205,1088.0,2.4,20.6,190,505,5.2,5.0,220,280,210,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100302,Delfzijl                                ,Buurt     ,BU00100302,960,964.0,2.4,23.3,155,405,2.8,5.0,135,155,200,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100303,Delfzijl                                ,Buurt     ,BU00100303,235,655.0,2.0,21.6,35,115,7.2,5.0,30,45,45,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00100309,Delfzijl                                ,Buurt     ,BU00100309,490,12.0,2.5,23.5,75,200,7.9,5.0,85,80,90,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07620000,Deurne                                  ,Buurt     ,BU07620000,5955,2805.0,2.0,24.8,700,2915,5.9,3.0,650,990,2060,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU07620001,Deurne                                  ,Buurt     ,BU07620001,2645,1943.0,2.4,23.3,400,1100,4.1,4.0,425,590,545,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07620002,Deurne                                  ,Buurt     ,BU07620002,1800,2065.0,2.4,24.4,290,745,5.3,4.0,255,340,360,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07620003,Deurne                                  ,Buurt     ,BU07620003,985,1089.0,2.5,30.0,155,385,2.8,5.0,170,160,250,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620004,Deurne                                  ,Buurt     ,BU07620004,4145,4704.0,2.3,21.6,655,1755,6.0,3.0,670,930,820,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07620005,Deurne                                  ,Buurt     ,BU07620005,4695,4742.0,2.4,25.1,835,1960,6.1,3.0,780,1160,450,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07620006,Deurne                                  ,Buurt     ,BU07620006,505,305.0,2.5,27.2,90,200,2.0,4.0,80,135,65,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620007,Deurne                                  ,Buurt     ,BU07620007,495,2910.0,3.0,26.9,85,145,2.1,4.0,110,105,60,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620009,Deurne                                  ,Buurt     ,BU07620009,3315,69.0,2.7,23.9,510,1110,4.6,5.0,580,805,475,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07620100,Deurne                                  ,Buurt     ,BU07620100,1100,1286.0,2.6,26.3,180,430,1.6,5.0,195,220,190,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620200,Deurne                                  ,Buurt     ,BU07620200,2375,1436.0,2.3,22.9,370,1025,4.3,5.0,365,530,530,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU07620209,Deurne                                  ,Buurt     ,BU07620209,810,48.0,2.7,25.7,135,300,1.0,5.0,120,145,125,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620300,Deurne                                  ,Buurt     ,BU07620300,1325,1371.0,2.4,22.3,210,555,3.1,5.0,220,295,250,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07620309,Deurne                                  ,Buurt     ,BU07620309,540,57.0,2.8,25.7,90,190,3.2,5.0,80,85,85,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU07620400,Deurne                                  ,Buurt     ,BU07620400,685,295.0,2.2,26.6,110,305,4.7,5.0,110,155,130,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU07620409,Deurne                                  ,Buurt     ,BU07620409,265,17.0,1.9,25.8,35,135,4.3,5.0,25,75,40,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU01500101,Deventer                                ,Buurt     ,BU01500101,2665,10184.0,1.4,27.2,170,1720,13.7,1.0,155,1040,410,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU01500102,Deventer                                ,Buurt     ,BU01500102,645,7282.0,1.6,31.3,65,390,10.9,1.0,70,205,110,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU01500103,Deventer                                ,Buurt     ,BU01500103,845,12496.0,1.5,26.8,75,560,12.1,1.0,65,255,105,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU01500104,Deventer                                ,Buurt     ,BU01500104,435,4504.0,1.8,31.6,40,245,4.0,1.0,40,90,80,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU01500105,Deventer                                ,Buurt     ,BU01500105,910,2637.0,1.7,33.2,85,510,7.0,1.0,100,230,205,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU01500106,Deventer                                ,Buurt     ,BU01500106,1010,10477.0,1.8,28.2,120,540,4.9,2.0,150,290,165,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU01500107,Deventer                                ,Buurt     ,BU01500107,1360,6651.0,2.0,25.4,185,675,9.8,2.0,155,265,435,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
